RAW_DATA|GIVEN_NAME|TOP_NICKNAME|ALL_NICKNAMES_ORDERED
chauncey,chan|chauncey|chan|chan
cher,sher|cher|sher|sher
cheryl,sheryl|cheryl|sheryl|sheryl
chesley,chet|chesley|chet|chet
chester,chet|chester|chet|chet
chet,chester|chet|chester|chester
chloe,clo|chloe|clo|clo
christa,chris|christa|chris|chris
christian,chris,kit|christian|chris|chris,kit
christiana,kris,kristy,ann,tina,christy,chris,crissy|christiana|tina|ann,chris,christy,crissy,kris,kristy,tina
christina,kris,kristy,tina,christy,chris,crissy|christina|tina|chris,christy,crissy,kris,kristy,tina
christine,kris,kristy,chrissy,tina,chris,crissy|christine|tina|chris,chrissy,crissy,kris,kristy,tina
christopher,chris,kit|christopher|chris|chris,kit
christy,crissy|christy|crissy|crissy
cicely,cilla|cicely|cilla|cilla
cinderella,arilla,rella,cindy,rilla|cinderella|cindy|arilla,cindy,rella,rilla
cindy,cinderlla|cindy|cinderlla|cinderlla
clair,clare,clara|clair|clare|clara,clare
clara,clarissa|clara|clarissa|clarissa
clare,clara|clare|clara|clara
clarence,clare,clair|clarence|clare|clair,clare
clarinda,clara|clarinda|clara|clara
clarissa,cissy,clara|clarissa|clara|cissy,clara
claudia,claud|claudia|claud|claud
cleatus,cleat|cleatus|cleat|cleat
clement,clem|clement|clem|clem
clementine,clement,clem|clementine|clem|clem,clement
clifford,ford,cliff|clifford|cliff|cliff,ford
clifton,tony,cliff|clifton|cliff|cliff,tony
cole,colie|cole|colie|colie
columbus,clum|columbus|clum|clum
con,conny|con|conny|conny
conrad,conny,con|conrad|con|con,conny
constance,connie|constance|connie|connie
cordelia,cordy,delia|cordelia|delia|cordy,delia
corey,coco,cordy,ree|corey|coco|coco,cordy,ree
corinne,cora,ora|corinne|cora|cora,ora
cornelia,nelly,cornie,nelia,corny,nelle|cornelia|nelly|cornie,corny,nelia,nelle,nelly
cornelius,conny,niel,corny,con|cornelius|niel|con,conny,corny,niel
cory,coco,cordy,ree|cory|coco|coco,cordy,ree
courtney,curt,court|courtney|curt|court,curt
crystal,chris,tal,stal,crys|crystal|chris|chris,crys,stal,tal
curt,curtis|curt|curtis|curtis
curtis,curt|curtis|curt|curt
cy,cyrus|cy|cyrus|cyrus
cynthia,cintha,cindy|cynthia|cindy|cindy,cintha
cyrenius,swene,cy,serene,renius,cene|cyrenius|cy|cene,cy,renius,serene,swene
cyrus,cy|cyrus|cy|cy
daisy,margaret|daisy|margaret|margaret
dal,dahl|dal|dahl|dahl
dalton,dahl|dalton|dahl|dahl
dan,danny,daniel|dan|danny|daniel,danny
daniel,dan,danny|daniel|dan|dan,danny
